category,cdi_semantic
chair,furniture_rooms
lamp,household
couch,furniture_rooms
table,furniture_rooms
pillow,household
cup,household
bowl,household
toy,toys
plate,household
glasses,household
bottle,household
door,furniture_rooms
bed,furniture_rooms
window,furniture_rooms
box,household
refrigerator,furniture_rooms
towel,household
book,toys
napkin,household
sink,furniture_rooms
blanket,household
hand,body_parts
ball,toys
oven,furniture_rooms
drawer,furniture_rooms
toe,body_parts
shirt,clothing
hair,body_parts
balloon,toys
bucket,household
plant,household
basket,household
pants,clothing
shorts,clothing
necklace,clothing
stroller,vehicles
mouth,body_parts
flower,outside
sweater,clothing
shoe,clothing
face,body_parts
pajamas,clothing
tooth,body_parts
finger,body_parts
jeans,clothing
tray,household
arm,body_parts
clock,household
watch,household
purse,household
doll,toys
sock,clothing
foot,body_parts
dog,animals
paper,household
fork,household
nose,body_parts
butterfly,animals
jar,household
cat,animals
closet,furniture_rooms
car,vehicles
shower,furniture_rooms
crib,furniture_rooms
dish,household
vacuum,household
ear,body_parts
dress,clothing
apple,food_drink
hat,clothing
bird,animals
eye,body_parts
glass,household
jacket,clothing
pony,animals
tree,outside
can,household
scarf,clothing
grass,outside
bench,furniture_rooms
slide,outside
rock,outside
stick,outside
cracker,food_drink
swing,outside
