readout,kind,block,metric,rho_aoa_raw,p_raw,rho_aoa_partial_freq,p_partial
cls_L00,cls,0,global,-0.20030893529750834,0.09158871443590956,-0.13786259200457593,0.25158169469731567
cls_L00,cls,0,local,0.015650649758368454,0.8961835688785794,0.058817420663300854,0.626095639076969
cls_L01,cls,1,global,-0.1755489290234332,0.14021437418620167,-0.10180541735059406,0.39822293464507275
cls_L01,cls,1,local,-0.050262974249786,0.6749995367970464,-0.0009376913206689435,0.9938077745032965
cls_L02,cls,2,global,-0.07528140198529966,0.5296783863001479,-0.004641042107339544,0.9693590524122115
cls_L02,cls,2,local,-0.026730469917543645,0.8236244250914985,0.017332441392575487,0.8859236012832904
cls_L03,cls,3,global,0.06255414500945411,0.6016622412763857,0.11775341635333583,0.3280723045535878
cls_L03,cls,3,local,0.15642574087698502,0.18945917176922134,0.1998540140765912,0.09471906661002304
cls_L04,cls,4,global,0.08374470484741016,0.4843077768135301,0.11156012635500392,0.35432512604793165
cls_L04,cls,4,local,0.19572195435697515,0.09942079203854476,0.21583104759766084,0.07065085608687356
cls_L05,cls,5,global,-0.06458921401828219,0.5898667015229342,-0.05429424860943545,0.6529246405601665
cls_L05,cls,5,local,0.17202793661133375,0.14847051417279913,0.17779492233527014,0.13797306734959358
cls_L06,cls,6,global,-0.05649739200698953,0.637367295706672,-0.06825468008373377,0.571682094061019
cls_L06,cls,6,local,0.14742944375065764,0.21651337621514918,0.13650509093802393,0.2563254436110637
cls_L07,cls,7,global,-0.16096426779349846,0.1767756515227498,-0.17399540181014325,0.14672895334624753
cls_L07,cls,7,local,-0.005491456055567878,0.9634845055562655,-0.03544342422754727,0.7691837581432506
cls_L08,cls,8,global,-0.18577272809159334,0.11819854279017387,-0.1700557840497836,0.1562398953303732
cls_L08,cls,8,local,-0.1288715525511062,0.28064133611694053,-0.15476231574045607,0.19750809787080592
cls_L09,cls,9,global,-0.22466515803808587,0.05778631205881584,-0.207909426715761,0.08188584698093555
cls_L09,cls,9,local,-0.16057663560134072,0.1778341246273796,-0.16983580833460152,0.15678412779789716
cls_L10,cls,10,global,-0.21549119615701956,0.06907565174123563,-0.190583654878988,0.11138207956131614
cls_L10,cls,10,local,-0.12998599510355965,0.27646742409397684,-0.11886424035411769,0.3234976585056665
cls_L11,cls,11,global,-0.20350690088280962,0.08642147851258941,-0.1624829467760271,0.17579388585433542
cls_L11,cls,11,local,-0.140871999166656,0.23787490295032104,-0.11433157896955212,0.3424207497808557
mean_L00,mean,0,global,0.01768571876719655,0.8827741723934641,0.029951965916944753,0.8041687425597559
mean_L00,mean,0,local,0.08579592519757816,0.47363061235528225,0.11179910205074843,0.3532886830718014
mean_L01,mean,1,global,0.11108892573587022,0.35288741088573183,0.14359434999076987,0.23221447575237672
mean_L01,mean,1,local,0.11448070741725037,0.3382882075008248,0.15671870703020296,0.19183245066108182
mean_L02,mean,2,global,0.09781252315446787,0.4136977025251696,0.1232882630733105,0.30568410855794564
mean_L02,mean,2,local,0.12442993368263217,0.29769069962650585,0.15005594005723066,0.21165159820601467
mean_L03,mean,3,global,0.11094356366381106,0.35352167938154655,0.11963007808479902,0.3203675482610341
mean_L03,mean,3,local,0.1657935188541302,0.16397176978576716,0.1640321647143846,0.17165509663071737
mean_L04,mean,4,global,0.0055560614209275005,0.9630552102717232,0.006841086065916963,0.9548467239972871
mean_L04,mean,4,local,0.09141659198386527,0.44503359483660687,0.07598952347480838,0.5287956857539555
mean_L05,mean,5,global,-0.053315577763028144,0.6564667185292496,-0.06555850366378001,0.5870021053115317
mean_L05,mean,5,local,0.015602195734348739,0.8965032094141028,-0.021555681546366473,0.8583867513683529
mean_L06,mean,6,global,-0.010966760769795853,0.9271508003127298,-0.014638616981354586,0.9035609584930557
mean_L06,mean,6,local,0.008431000179430685,0.9439639619398883,-0.02590038535666118,0.8302330406757065
mean_L07,mean,7,global,0.006072904343804478,0.9596212354424609,0.018467431488781653,0.8785084612393252
mean_L07,mean,7,local,0.003084906195921956,0.9794820859497566,-0.011771280374724084,0.922385431951334
mean_L08,mean,8,global,-0.04083059090728117,0.7334517326082728,-0.006830448176581305,0.9549168641566188
mean_L08,mean,8,local,-0.10566207504566195,0.377043188179063,-0.10039972777167974,0.4048025409373186
mean_L09,mean,9,global,-0.20890144889033804,0.07822979748749546,-0.18226084992201266,0.1281918577661305
mean_L09,mean,9,local,-0.21205096045161964,0.07374091829419693,-0.1989891777294756,0.0961856736981885
mean_L10,mean,10,global,-0.24622719872685978,0.03707308621718635,-0.22434442745122804,0.059991292382722536
mean_L10,mean,10,local,-0.25947129862558227,0.027736066539668005,-0.2393147984576975,0.04442911458726876
mean_L11,mean,11,global,-0.2302050681176735,0.051728948779603774,-0.19401288306694459,0.10497274092252241
mean_L11,mean,11,local,-0.23119029993940768,0.05070818248608089,-0.21445180006315717,0.07251272630944544
final,final,-1,global,-0.1478332272841553,0.21524367224518115,-0.12049351077953831,0.31686185533541067
final,final,-1,local,-0.09162655942128405,0.44398432776755603,-0.06241716403796715,0.6050823972165558
