category,n_crops,n_instances,instances_per_crop,repeat_rate,n_multi_instances,largest_instance,pct_crops_in_repeats
apple,64,62,0.96875,0.03125,2,2,0.0625
ball,86,86,1.0,0.0,0,1,0.0
balloon,74,74,1.0,0.0,0,1,0.0
basket,91,90,0.989010989010989,0.01098901098901095,1,2,0.02197802197802198
bed,74,73,0.9864864864864865,0.013513513513513487,1,2,0.02702702702702703
bench,64,63,0.984375,0.015625,1,2,0.03125
bird,63,58,0.9206349206349206,0.07936507936507942,5,2,0.15873015873015872
blanket,92,92,1.0,0.0,0,1,0.0
book,94,94,1.0,0.0,0,1,0.0
bottle,85,83,0.9764705882352941,0.02352941176470591,2,2,0.047058823529411764
bowl,88,85,0.9659090909090909,0.03409090909090906,1,4,0.045454545454545456
box,86,86,1.0,0.0,0,1,0.0
bucket,71,71,1.0,0.0,0,1,0.0
butterfly,92,65,0.7065217391304348,0.2934782608695652,11,7,0.41304347826086957
can,61,60,0.9836065573770492,0.016393442622950838,1,2,0.03278688524590164
car,69,68,0.9855072463768116,0.01449275362318836,1,2,0.028985507246376812
cat,68,68,1.0,0.0,0,1,0.0
chair,95,93,0.9789473684210527,0.021052631578947323,2,2,0.042105263157894736
clock,92,48,0.5217391304347826,0.4782608695652174,18,13,0.6739130434782609
closet,81,74,0.9135802469135802,0.0864197530864198,6,3,0.16049382716049382
couch,98,98,1.0,0.0,0,1,0.0
cracker,73,65,0.8904109589041096,0.1095890410958904,3,6,0.1506849315068493
crib,60,56,0.9333333333333333,0.06666666666666665,4,2,0.13333333333333333
cup,83,79,0.9518072289156626,0.048192771084337394,3,3,0.08433734939759036
dish,90,82,0.9111111111111111,0.0888888888888889,2,8,0.1111111111111111
dog,71,69,0.971830985915493,0.028169014084507005,2,2,0.056338028169014086
doll,89,89,1.0,0.0,0,1,0.0
door,95,92,0.968421052631579,0.03157894736842104,3,2,0.06315789473684211
drawer,87,80,0.9195402298850575,0.08045977011494254,6,3,0.14942528735632185
dress,97,97,1.0,0.0,0,1,0.0
flower,93,85,0.9139784946236559,0.08602150537634412,6,3,0.15053763440860216
fork,63,62,0.9841269841269841,0.015873015873015928,1,2,0.031746031746031744
glass,80,79,0.9875,0.012499999999999956,1,2,0.025
grass,100,97,0.97,0.030000000000000027,3,2,0.06
hat,78,77,0.9871794871794872,0.012820512820512775,1,2,0.02564102564102564
jacket,76,76,1.0,0.0,0,1,0.0
jar,79,78,0.9873417721518988,0.012658227848101222,1,2,0.02531645569620253
jeans,84,84,1.0,0.0,0,1,0.0
lamp,92,76,0.8260869565217391,0.17391304347826086,9,5,0.2717391304347826
napkin,77,76,0.987012987012987,0.012987012987012991,1,2,0.025974025974025976
necklace,85,84,0.9882352941176471,0.0117647058823529,1,2,0.023529411764705882
oven,83,72,0.8674698795180723,0.1325301204819277,9,3,0.24096385542168675
pajamas,86,86,1.0,0.0,0,1,0.0
pants,90,90,1.0,0.0,0,1,0.0
paper,99,98,0.98989898989899,0.010101010101010055,1,2,0.020202020202020204
pillow,85,85,1.0,0.0,0,1,0.0
plant,99,96,0.9696969696969697,0.030303030303030276,2,3,0.050505050505050504
plate,93,89,0.956989247311828,0.043010752688172005,2,4,0.06451612903225806
pony,63,50,0.7936507936507936,0.2063492063492064,8,5,0.3333333333333333
purse,76,75,0.9868421052631579,0.013157894736842146,1,2,0.02631578947368421
refrigerator,65,63,0.9692307692307692,0.03076923076923077,2,2,0.06153846153846154
rock,71,67,0.9436619718309859,0.05633802816901412,4,2,0.11267605633802817
scarf,73,72,0.9863013698630136,0.013698630136986356,1,2,0.0273972602739726
shirt,91,91,1.0,0.0,0,1,0.0
shoe,94,93,0.9893617021276596,0.010638297872340385,1,2,0.02127659574468085
shorts,95,95,1.0,0.0,0,1,0.0
shower,77,65,0.8441558441558441,0.1558441558441559,7,6,0.24675324675324675
sink,64,62,0.96875,0.03125,2,2,0.0625
slide,57,39,0.6842105263157895,0.3157894736842105,6,10,0.42105263157894735
sock,83,82,0.9879518072289156,0.012048192771084376,1,2,0.024096385542168676
stick,73,73,1.0,0.0,0,1,0.0
stroller,88,74,0.8409090909090909,0.15909090909090906,7,4,0.23863636363636365
sweater,97,97,1.0,0.0,0,1,0.0
swing,65,57,0.8769230769230769,0.12307692307692308,5,3,0.2
table,94,94,1.0,0.0,0,1,0.0
towel,83,83,1.0,0.0,0,1,0.0
toy,100,99,0.99,0.010000000000000009,1,2,0.02
tray,80,77,0.9625,0.03749999999999998,3,2,0.075
tree,99,97,0.9797979797979798,0.02020202020202022,2,2,0.04040404040404041
vacuum,62,61,0.9838709677419355,0.016129032258064502,1,2,0.03225806451612903
watch,97,95,0.979381443298969,0.020618556701030966,2,2,0.041237113402061855
window,99,91,0.9191919191919192,0.08080808080808077,8,2,0.16161616161616163
